Date,Sentiment
2018-01-20,0.806
2018-01-21,0.88
2018-01-22,0.824
2018-01-23,0.775
2018-01-24,0.762
2018-01-25,0.785
2018-01-26,0.789
2018-01-27,0.832
2018-01-28,0.806
2018-01-29,0.81
2018-01-30,0.785
2018-01-31,0.772
2018-02-01,0.727
2018-02-02,0.781
2018-02-03,0.82
2018-02-04,0.867
2018-02-05,0.725
2018-02-06,0.752
2018-02-07,0.793
2018-02-08,0.769
2018-02-09,0.747
2018-02-10,0.803
2018-02-11,0.91
2018-02-12,0.841
2018-02-13,0.778
2018-02-14,0.821
2018-02-15,0.801
2018-02-16,0.766
2018-02-17,0.782
2018-02-18,0.735
2018-02-19,0.755
2018-02-20,0.781
2018-02-21,0.771
2018-02-22,0.774
2018-02-23,0.762
2018-02-24,0.751
2018-02-25,0.785
2018-02-26,0.745
2018-02-27,0.789
2018-02-28,0.744
2018-03-01,0.685
2018-03-02,0.636
2018-03-03,0.754
2018-03-04,0.769
2018-03-05,0.786
2018-03-06,0.797
2018-03-07,0.757
2018-03-08,0.804
2018-03-09,0.726
2018-03-10,0.843
2018-03-11,0.819
2018-03-12,0.829
2018-03-13,0.743
2018-03-14,0.754
2018-03-15,0.711
2018-03-16,0.737
2018-03-17,0.781
2018-03-18,0.826
2018-03-19,0.754
2018-03-20,0.735
2018-03-21,0.803
2018-03-22,0.766
2018-03-23,0.722
2018-03-24,0.755
2018-03-25,0.796
2018-03-26,0.766
2018-03-27,0.772
2018-03-28,0.634
2018-03-29,0.65
2018-03-30,0.739
2018-03-31,0.648
2018-04-01,0.707
2018-04-02,0.599
2018-04-03,0.601
2018-04-04,0.671
2018-04-05,0.701
2018-04-06,0.67
2018-04-07,0.745
2018-04-08,0.647
2018-04-09,0.74
2018-04-10,0.728
2018-04-11,0.799
2018-04-12,0.804
2018-04-13,0.712
2018-04-14,0.821
2018-04-15,0.851
2018-04-16,0.79
2018-04-17,0.789
2018-04-18,0.809
2018-04-19,0.753
2018-04-20,0.727
2018-04-21,0.856
2018-04-22,0.863
2018-04-23,0.77
2018-04-24,0.786
2018-04-25,0.649
2018-04-26,0.752
2018-04-27,0.746
2018-04-28,0.857
2018-04-29,0.82
2018-04-30,0.774
2018-05-01,0.824
2018-05-02,0.779
2018-05-03,0.817
2018-05-04,0.837
2018-05-05,0.813
2018-05-06,0.85
2018-05-07,0.792
2018-05-08,0.791
2018-05-09,0.81
2018-05-10,0.736
2018-05-11,0.815
2018-05-12,0.874
2018-05-13,0.851
2018-05-14,0.752
2018-05-15,0.819
2018-05-16,0.798
2018-05-17,0.783
2018-05-18,0.785
2018-05-19,0.871
2018-05-20,0.863
2018-05-21,0.786
2018-05-22,0.752
2018-05-23,0.801
2018-05-24,0.814
2018-05-25,0.775
2018-05-26,0.89
2018-05-27,0.885
2018-05-28,0.861
2018-05-29,0.801
2018-05-30,0.756
2018-05-31,0.74
2018-06-01,0.821
2018-06-02,0.897
2018-06-03,0.897
2018-06-04,0.748
2018-06-05,0.711
2018-06-06,0.731
2018-06-07,0.777
2018-06-08,0.807
2018-06-09,0.644
2018-06-10,0.851
2018-06-11,0.79
2018-06-12,0.78
2018-06-13,0.764
2018-06-14,0.77
2018-06-15,0.774
2018-06-16,0.897
2018-06-17,0.864
2018-06-18,0.792
2018-06-19,0.822
2018-06-20,0.788
2018-06-21,0.708
2018-06-22,0.564
2018-06-23,0.85
2018-06-24,0.84
2018-06-25,0.671
2018-06-26,0.801
2018-06-27,0.679
2018-06-28,0.776
2018-06-29,0.716
2018-06-30,0.838
2018-07-01,0.852
2018-07-02,0.834
2018-07-03,0.856
2018-07-04,0.864
2018-07-05,0.816
2018-07-06,0.816
2018-07-07,0.877
2018-07-08,0.805
2018-07-09,0.803
2018-07-10,0.787
2018-07-11,0.759
2018-07-12,0.806
2018-07-13,0.74
2018-07-14,0.846
2018-07-15,0.865
2018-07-16,0.717
2018-07-17,0.75
2018-07-18,0.752
2018-07-19,0.73
2018-07-20,0.812
2018-07-21,0.828
2018-07-22,0.871
2018-07-23,0.743
2018-07-24,0.781
2018-07-25,0.747
2018-07-26,0.717
2018-07-27,0.782
2018-07-28,0.786
2018-07-29,0.842
2018-07-30,0.707
2018-07-31,0.758
2018-08-01,0.774
2018-08-02,0.784
2018-08-03,0.774
2018-08-04,0.847
2018-08-05,0.778
2018-08-06,0.786
2018-08-07,0.768
2018-08-08,0.815
2018-08-09,0.773
2018-08-10,0.744
2018-08-11,0.874
2018-08-12,0.783
2018-08-13,0.805
2018-08-14,0.733
2018-08-15,0.74
2018-08-16,0.81
2018-08-17,0.723
2018-08-18,0.766
2018-08-19,0.786
2018-08-20,0.799
2018-08-21,0.828
2018-08-22,0.833
2018-08-23,0.768
2018-08-24,0.758
2018-08-25,0.886
2018-08-26,0.803
2018-08-27,0.807
2018-08-28,0.822
2018-08-29,0.804
2018-08-30,0.786
2018-08-31,0.802
2018-09-01,0.847
2018-09-02,0.843
2018-09-03,0.836
2018-09-04,0.853
2018-09-05,0.751
2018-09-06,0.715
2018-09-07,0.744
2018-09-08,0.728
2018-09-09,0.821
2018-09-10,0.752
2018-09-11,0.777
2018-09-12,0.763
2018-09-13,0.833
2018-09-14,0.757
2018-09-15,0.772
2018-09-16,0.824
2018-09-17,0.74
2018-09-18,0.757
