Date,Sentiment
2018-08-29,0.807
2018-08-30,0.768
2018-08-31,0.775
2018-09-01,0.83
2018-09-02,0.875
2018-09-03,0.864
2018-09-04,0.815
2018-09-05,0.797
2018-09-06,0.725
2018-09-07,0.695
2018-09-08,0.763
2018-09-09,0.817
2018-09-10,0.683
2018-09-11,0.768
2018-09-12,0.72
2018-09-13,0.752
2018-09-14,0.756
2018-09-15,0.803
2018-09-16,0.81
2018-09-17,0.69
2018-09-18,0.709
2018-09-19,0.776
2018-09-20,0.812
2018-09-21,0.768
2018-09-22,0.822
2018-09-23,0.836
2018-09-24,0.834
2018-09-25,0.736
2018-09-26,0.81
2018-09-27,0.79
2018-09-28,0.822
2018-09-29,0.776
2018-09-30,0.822
2018-10-01,0.804
2018-10-02,0.821
2018-10-03,0.875
2018-10-04,0.669
2018-10-05,0.696
2018-10-06,0.805
2018-10-07,0.868
2018-10-08,0.736
2018-10-09,0.78
2018-10-10,0.714
2018-10-11,0.758
2018-10-12,0.783
2018-10-13,0.859
2018-10-14,0.85
2018-10-15,0.708
2018-10-16,0.758
2018-10-17,0.773
2018-10-18,0.693
2018-10-19,0.732
2018-10-20,0.79
2018-10-21,0.784
2018-10-22,0.775
2018-10-23,0.694
2018-10-24,0.719
2018-10-25,0.704
2018-10-26,0.685
2018-10-27,0.793
2018-10-28,0.795
2018-10-29,0.668
2018-10-30,0.723
2018-10-31,0.755
2018-11-01,0.565
2018-11-02,0.596
2018-11-03,0.739
2018-11-04,0.789
2018-11-05,0.665
2018-11-06,0.751
2018-11-07,0.735
2018-11-08,0.743
2018-11-09,0.7
2018-11-10,0.783
2018-11-11,0.866
2018-11-12,0.547
2018-11-13,0.595
2018-11-14,0.605
2018-11-15,0.672
2018-11-16,0.708
2018-11-17,0.749
2018-11-18,0.856
2018-11-19,0.563
2018-11-20,0.605
2018-11-21,0.649
2018-11-22,0.752
2018-11-23,0.635
2018-11-24,0.846
2018-11-25,0.71
2018-11-26,0.685
2018-11-27,0.658
2018-11-28,0.733
2018-11-29,0.697
2018-11-30,0.719
2018-12-01,0.791
2018-12-02,0.788
2018-12-03,0.733
2018-12-04,0.657
2018-12-05,0.756
2018-12-06,0.657
2018-12-07,0.671
2018-12-08,0.693
2018-12-09,0.748
2018-12-10,0.58
2018-12-11,0.624
2018-12-12,0.703
2018-12-13,0.706
2018-12-14,0.691
2018-12-15,0.786
2018-12-16,0.81
2018-12-17,0.71
2018-12-18,0.717
2018-12-19,0.696
2018-12-20,0.615
2018-12-21,0.638
2018-12-22,0.659
2018-12-23,0.719
2018-12-24,0.645
2018-12-25,0.765
2018-12-26,0.784
2018-12-27,0.722
2018-12-28,0.757
2018-12-29,0.807
2018-12-30,0.79
2018-12-31,0.773
2019-01-01,0.84
2019-01-02,0.489
2019-01-03,0.508
2019-01-04,0.608
2019-01-05,0.709
2019-01-06,0.754
2019-01-07,0.71
2019-01-08,0.691
2019-01-09,0.688
2019-01-10,0.749
2019-01-11,0.745
2019-01-12,0.858
2019-01-13,0.79
2019-01-14,0.652
2019-01-15,0.724
2019-01-16,0.753
2019-01-17,0.735
2019-01-18,0.755
2019-01-19,0.857
2019-01-20,0.827
2019-01-21,0.803
2019-01-22,0.735
2019-01-23,0.763
2019-01-24,0.727
2019-01-25,0.732
2019-01-26,0.869
2019-01-27,0.849
2019-01-28,0.721
2019-01-29,0.665
2019-01-30,0.7
2019-01-31,0.76
2019-02-01,0.774
2019-02-02,0.813
2019-02-03,0.871
2019-02-04,0.818
2019-02-05,0.791
2019-02-06,0.792
2019-02-07,0.831
2019-02-08,0.792
2019-02-09,0.884
2019-02-10,0.828
2019-02-11,0.791
2019-02-12,0.772
2019-02-13,0.774
2019-02-14,0.681
2019-02-15,0.76
2019-02-16,0.886
2019-02-17,0.82
2019-02-18,0.783
2019-02-19,0.768
2019-02-20,0.78
2019-02-21,0.821
2019-02-22,0.839
2019-02-23,0.892
2019-02-24,0.826
2019-02-25,0.863
2019-02-26,0.881
2019-02-27,0.865
2019-02-28,0.846
2019-03-01,0.839
2019-03-02,0.904
2019-03-03,0.893
2019-03-04,0.832
2019-03-05,0.803
2019-03-06,0.784
2019-03-07,0.825
2019-03-08,0.808
2019-03-09,0.855
2019-03-10,0.871
2019-03-11,0.804
2019-03-12,0.843
2019-03-13,0.803
2019-03-14,0.808
2019-03-15,0.803
2019-03-16,0.874
2019-03-17,0.88
2019-03-18,0.85
2019-03-19,0.825
2019-03-20,0.866
2019-03-21,0.814
2019-03-22,0.768
2019-03-23,0.891
2019-03-24,0.786
2019-03-25,0.721
2019-03-26,0.705
2019-03-27,0.727
2019-03-28,0.805
2019-03-29,0.755
2019-03-30,0.802
2019-03-31,0.836
2019-04-01,0.709
2019-04-02,0.792
2019-04-03,0.819
2019-04-04,0.836
2019-04-05,0.826
2019-04-06,0.886
2019-04-07,0.877
2019-04-08,0.807
2019-04-09,0.759
2019-04-10,0.776
2019-04-11,0.822
2019-04-12,0.784
2019-04-13,0.849
2019-04-14,0.788
2019-04-15,0.816
2019-04-16,0.702
2019-04-17,0.74
2019-04-18,0.824
2019-04-19,0.868
2019-04-20,0.9
2019-04-21,0.843
2019-04-22,0.804
2019-04-23,0.828
2019-04-24,0.817
2019-04-25,0.791
2019-04-26,0.839
2019-04-27,0.826
2019-04-28,0.902
2019-04-29,0.817
2019-04-30,0.734
2019-05-01,0.753
2019-05-02,0.756
2019-05-03,0.806
2019-05-04,0.908
2019-05-05,0.844
2019-05-06,0.743
2019-05-07,0.799
2019-05-08,0.772
2019-05-09,0.799
2019-05-10,0.763
2019-05-11,0.887
2019-05-12,0.783
2019-05-13,0.702
2019-05-14,0.719
2019-05-15,0.799
2019-05-16,0.755
2019-05-17,0.744
2019-05-18,0.833
2019-05-19,0.868
2019-05-20,0.666
2019-05-21,0.751
2019-05-22,0.667
2019-05-23,0.682
2019-05-24,0.758
2019-05-25,0.872
2019-05-26,0.811
2019-05-27,0.84
2019-05-28,0.722
2019-05-29,0.69
2019-05-30,0.648
2019-05-31,0.646
2019-06-01,0.64
2019-06-02,0.694
2019-06-03,0.637
2019-06-04,0.692
2019-06-05,0.697
2019-06-06,0.769
2019-06-07,0.812
2019-06-08,0.845
2019-06-09,0.883
2019-06-10,0.741
2019-06-11,0.724
2019-06-12,0.735
2019-06-13,0.747
2019-06-14,0.751
2019-06-15,0.8
2019-06-16,0.768
2019-06-17,0.76
2019-06-18,0.803
2019-06-19,0.768
2019-06-20,0.785
2019-06-21,0.711
2019-06-22,0.675
2019-06-23,0.536
2019-06-24,0.629
2019-06-25,0.686
2019-06-26,0.681
2019-06-27,0.659
2019-06-28,0.778
2019-06-29,0.769
2019-06-30,0.783
2019-07-01,0.712
2019-07-02,0.681
2019-07-03,0.765
2019-07-04,0.79
2019-07-05,0.758
2019-07-06,0.759
2019-07-07,0.856
2019-07-08,0.656
2019-07-09,0.72
2019-07-10,0.77
2019-07-11,0.681
2019-07-12,0.767
2019-07-13,0.874
2019-07-14,0.839
2019-07-15,0.673
2019-07-16,0.784
2019-07-17,0.712
2019-07-18,0.761
2019-07-19,0.709
2019-07-20,0.739
2019-07-21,0.869
2019-07-22,0.729
2019-07-23,0.744
2019-07-24,0.762
2019-07-25,0.782
2019-07-26,0.778
2019-07-27,0.779
2019-07-28,0.731
2019-07-29,0.721
2019-07-30,0.731
2019-07-31,0.712
2019-08-01,0.682
2019-08-02,0.624
2019-08-03,0.713
2019-08-04,0.724
2019-08-05,0.619
