Date,Sentiment
2015-08-31,0.5
2015-09-01,0.553
2015-09-02,0.648
2015-09-03,0.692
2015-09-04,0.636
2015-09-05,0.741
2015-09-06,0.552
2015-09-07,0.607
2015-09-08,0.807
2015-09-09,0.736
2015-09-10,0.718
2015-09-11,0.735
2015-09-12,0.836
2015-09-13,0.733
2015-09-14,0.626
2015-09-15,0.694
2015-09-16,0.725
2015-09-17,0.813
2015-09-18,0.695
2015-09-19,0.692
2015-09-20,0.667
2015-09-21,0.617
2015-09-22,0.656
2015-09-23,0.621
2015-09-24,0.748
2015-09-25,0.756
2015-09-26,0.732
2015-09-27,0.832
2015-09-28,0.833
2015-09-29,0.744
2015-09-30,0.744
2015-10-01,0.656
2015-10-02,0.642
2015-10-03,0.698
2015-10-04,0.737
2015-10-05,0.809
2015-10-06,0.76
2015-10-07,0.865
2015-10-08,0.828
2015-10-09,0.82
2015-10-10,0.743
2015-10-11,0.684
2015-10-12,0.767
2015-10-13,0.753
2015-10-14,0.812
2015-10-15,0.825
2015-10-16,0.752
2015-10-17,0.744
2015-10-18,0.66
2015-10-19,0.681
2015-10-20,0.639
2015-10-21,0.741
2015-10-22,0.812
2015-10-23,0.8
2015-10-24,0.8
2015-10-25,0.862
2015-10-26,0.777
2015-10-27,0.794
2015-10-28,0.407
2015-10-29,0.817
2015-10-30,0.733
2015-10-31,0.629
2015-11-01,0.811
2015-11-02,0.612
2015-11-03,0.711
2015-11-04,0.814
2015-11-05,0.642
2015-11-06,0.746
2015-11-07,0.854
2015-11-08,0.76
2015-11-09,0.754
2015-11-10,0.752
2015-11-11,0.818
2015-11-12,0.716
2015-11-13,0.778
2015-11-14,0.8
2015-11-15,0.682
2015-11-16,0.812
2015-11-17,0.816
2015-11-18,0.689
2015-11-19,0.76
2015-11-20,0.75
2015-11-21,0.745
2015-11-22,0.71
2015-11-23,0.697
2015-11-24,0.646
2015-11-25,0.735
2015-11-26,0.895
2015-11-27,0.754
2015-11-28,0.828
2015-11-29,0.702
2015-11-30,0.733
2015-12-01,0.74
2015-12-02,0.782
2015-12-03,0.797
2015-12-04,0.591
2015-12-05,0.782
2015-12-06,0.78
