Date,Sentiment
2019-03-20,0.639
2019-03-21,0.579
2019-03-22,0.575
2019-03-23,0.558
2019-03-24,0.56
2019-03-25,0.559
2019-03-26,0.577
2019-03-27,0.595
2019-03-28,0.592
2019-03-29,0.626
2019-03-30,0.512
2019-03-31,0.617
2019-04-01,0.612
2019-04-02,0.629
2019-04-03,0.626
2019-04-04,0.526
2019-04-05,0.549
2019-04-06,0.596
2019-04-07,0.558
2019-04-08,0.571
2019-04-09,0.614
2019-04-10,0.648
2019-04-11,0.584
2019-04-12,0.551
2019-04-13,0.599
2019-04-14,0.565
2019-04-15,0.591
2019-04-16,0.601
2019-04-17,0.626
2019-04-18,0.567
2019-04-19,0.604
2019-04-20,0.596
2019-04-21,0.528
2019-04-22,0.565
2019-04-23,0.607
2019-04-24,0.571
2019-04-25,0.558
2019-04-26,0.562
2019-04-27,0.609
2019-04-28,0.613
2019-04-29,0.581
2019-04-30,0.641
2019-05-01,0.548
2019-05-02,0.585
2019-05-03,0.624
2019-05-04,0.626
2019-05-05,0.617
2019-05-06,0.588
2019-05-07,0.634
2019-05-08,0.628
2019-05-09,0.658
2019-05-10,0.609
2019-05-11,0.644
2019-05-12,0.664
2019-05-13,0.577
2019-05-14,0.56
2019-05-15,0.587
2019-05-16,0.575
2019-05-17,0.566
2019-05-18,0.592
2019-05-19,0.607
2019-05-20,0.624
2019-05-21,0.56
2019-05-22,0.541
2019-05-23,0.558
2019-05-24,0.587
2019-05-25,0.632
2019-05-26,0.629
2019-05-27,0.616
2019-05-28,0.579
2019-05-29,0.595
2019-05-30,0.539
2019-05-31,0.6
2019-06-01,0.615
2019-06-02,0.597
2019-06-03,0.611
2019-06-04,0.653
2019-06-05,0.635
2019-06-06,0.629
2019-06-07,0.659
2019-06-08,0.661
2019-06-09,0.626
2019-06-10,0.612
2019-06-11,0.613
2019-06-12,0.586
2019-06-13,0.622
2019-06-14,0.577
2019-06-15,0.65
2019-06-16,0.655
2019-06-17,0.664
2019-06-18,0.614
2019-06-19,0.599
2019-06-20,0.575
2019-06-21,0.601
